[2026-03-25T03:20:52.079Z] Product import error: NOT NULL constraint failed: products.bottom_price
SqliteError: NOT NULL constraint failed: products.bottom_price
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:342:14)
    at sqliteTransaction (C:\Workshop\Commision-Employee\node_modules\better-sqlite3\lib\methods\transaction.js:65:24)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:347:5)
    at Layer.handleRequest (C:\Workshop\Commision-Employee\node_modules\router\lib\layer.js:152:17)
    at next (C:\Workshop\Commision-Employee\node_modules\router\lib\route.js:157:13)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:55:5)
    at C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:261:12
    at getSecret (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:97:14)
    at module.exports [as verify] (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:101:10)
    at authenticateToken (C:\Workshop\Commision-Employee\server\index.ts:52:7)
[2026-03-25T03:21:09.210Z] OPTIONS /api/products/import
[2026-03-25T03:21:09.212Z] POST /api/products/import
[2026-03-25T03:21:09.219Z] Product import error: NOT NULL constraint failed: products.bottom_price
SqliteError: NOT NULL constraint failed: products.bottom_price
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:342:14)
    at sqliteTransaction (C:\Workshop\Commision-Employee\node_modules\better-sqlite3\lib\methods\transaction.js:65:24)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:347:5)
    at Layer.handleRequest (C:\Workshop\Commision-Employee\node_modules\router\lib\layer.js:152:17)
    at next (C:\Workshop\Commision-Employee\node_modules\router\lib\route.js:157:13)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:55:5)
    at C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:261:12
    at getSecret (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:97:14)
    at module.exports [as verify] (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:101:10)
    at authenticateToken (C:\Workshop\Commision-Employee\server\index.ts:52:7)
[2026-03-25T03:22:14.984Z] OPTIONS /api/products
[2026-03-25T03:22:15.022Z] GET /api/products
[2026-03-25T03:22:19.400Z] OPTIONS /api/products/import
[2026-03-25T03:22:19.402Z] POST /api/products/import
[2026-03-25T03:22:19.464Z] GET /api/products
[2026-03-25T03:22:40.669Z] OPTIONS /api/invoices
[2026-03-25T03:22:40.670Z] OPTIONS /api/settings
[2026-03-25T03:22:40.675Z] GET /api/invoices
[2026-03-25T03:22:40.677Z] GET /api/settings
[2026-03-25T03:22:41.929Z] GET /api/invoices
[2026-03-25T03:22:42.764Z] OPTIONS /api/users
[2026-03-25T03:22:42.765Z] OPTIONS /api/products
[2026-03-25T03:22:42.769Z] GET /api/users
[2026-03-25T03:22:42.771Z] GET /api/products
[2026-03-25T03:22:46.295Z] OPTIONS /api/ocr/scan
[2026-03-25T03:22:46.308Z] POST /api/ocr/scan
[2026-03-25T03:23:00.486Z] OPTIONS /api/ocr/scan
[2026-03-25T03:23:00.493Z] POST /api/ocr/scan
[2026-03-25T03:23:14.706Z] OPTIONS /api/settings
[2026-03-25T03:23:14.711Z] GET /api/settings
[2026-03-25T03:23:21.486Z] OPTIONS /api/master-ledger/import
[2026-03-25T03:23:21.488Z] POST /api/master-ledger/import
[2026-03-25T03:23:22.643Z] OPTIONS /api/invoices
[2026-03-25T03:23:22.653Z] GET /api/invoices
[2026-03-25T03:23:25.707Z] OPTIONS /api/users
[2026-03-25T03:23:25.709Z] OPTIONS /api/products
[2026-03-25T03:23:25.712Z] GET /api/users
[2026-03-25T03:23:25.714Z] GET /api/products
[2026-03-25T03:23:28.633Z] OPTIONS /api/ocr/scan
[2026-03-25T03:23:28.639Z] POST /api/ocr/scan
[2026-03-25T03:23:57.972Z] OPTIONS /api/invoices
[2026-03-25T03:23:57.975Z] OPTIONS /api/settings
[2026-03-25T03:23:57.987Z] GET /api/invoices
[2026-03-25T03:23:57.989Z] GET /api/settings
[2026-03-25T03:23:58.435Z] OPTIONS /api/products
[2026-03-25T03:23:58.438Z] GET /api/products
[2026-03-25T03:27:11.289Z] OPTIONS /api/products
[2026-03-25T03:27:11.292Z] GET /api/products
[2026-03-25T03:27:30.310Z] OPTIONS /api/products
[2026-03-25T03:27:30.313Z] GET /api/products
[2026-03-25T03:28:07.395Z] OPTIONS /api/products
[2026-03-25T03:28:07.398Z] GET /api/products
[2026-03-25T03:28:49.391Z] OPTIONS /api/products
[2026-03-25T03:28:49.397Z] GET /api/products
[2026-03-25T03:28:51.515Z] OPTIONS /api/invoices
[2026-03-25T03:28:51.520Z] GET /api/invoices
[2026-03-25T03:28:52.849Z] OPTIONS /api/users
[2026-03-25T03:28:52.854Z] GET /api/users
[2026-03-25T03:28:52.858Z] GET /api/products
[2026-03-25T03:28:55.946Z] OPTIONS /api/ocr/scan
[2026-03-25T03:28:55.949Z] POST /api/ocr/scan
