             ,,,HARGA USER ( LANTAI ),,,,HARGA USER ( AKSESORIS ),,,,,,
PVC BOARD SHEET UK 2.4M, Rp 520.000 ,NEW,BARCKET PLAFON 4X5, Rp 28.800 ,new+5k,,"KACA PAKETAN 140CM X 196CM  ( )  bingkai kotak  Rp 2,210,000",Rp2.086.800,,,Rp1.986.800,Rp158.944,Rp2.245.744
LIST F ( 8MM ),Rp48.900,NEW,BRACKET PLAFON 5X5, Rp 28.800 ,new+5k,,"KACA PAKETAN 112CM X 140CM  ( )  bingkai kotak Rp 1,303,000",Rp1.241.400,,,Rp1.141.400,Rp91.312,Rp1.332.712
LIST T LED ( 8MM ),Rp67.800,NEW+5\,,,,,"ACA PAKETAN 56CM X 112CM ( LIST GOLD ) bingkai kotak Rp 699,800",Rp653.300,,,Rp553.300,Rp44.264,Rp697.564
LIST W ( 8MM ),Rp41.800,NEW,,,,,"KACA PAKETAN 84CM X 112CM  ( LIST GOLD ) bingkai kotak Rp 894,500",Rp848.300,,,Rp748.300,Rp59.864,Rp908.164
"PVC BOARD SHEET UK 1,45",293.500,NEW,,,,,"KACA PAKETAN 112CM X 112CM  ( LIST GOLD ) bingkai kotak Rp 1,135,500",Rp1.073.900,,,Rp973.900,Rp77.912,Rp1.151.812
,,,,,,,"KACA PAKETAN 140CM X 140CM  ( LIST GOLD ) bingkai kotak Rp 1,755,500",Rp1.632.300,,,Rp1.532.300,Rp122.584,Rp1.754.884
,,,HARGA USER (LAMPU DAN LAIN-LAIN ) ,,,,"KACA PAKETAN 140CM X 196CM   ( LIST GOLD ) bingkai kotak Rp 2,265,000",Rp2.141.800,,,Rp2.041.800,Rp163.344,Rp2.305.144
HARGA USER ( LIST MOULDING ),,,NAMA BARANG,HARGA,,,"KACA PAKETAN 112CM X 140CM  ( LIST GOLD ) bingkai kotak Rp 1,330,500",Rp1.628.900,,,Rp1.528.900,Rp122.312,Rp1.751.212
NAMA BARANG,HARGA,,LAMPU RANTAI BINTANG & LOVE 50M,Rp440.900,NEW,,RUMPUT SINTETIS UK 1M X 50CM ,Rp85.300,NEW,,-Rp14.700,-Rp1.176,Rp84.124
LM 4CM (DOVE 2) 1M, Rp 12.000 ,new,LAMPU FILAMENT ,Rp13.400,NEW+5,,RUMPUT SINTERIS UK 1M X 1 M,Rp127.800,new,,Rp27.800,Rp2.224,Rp130.024
LM 4CM (DOVE 2) 2M, Rp 20.800 ,new,LAMPU LED DOWNLIGHT 3W,Rp20.400,NEW+5,,RUMPUT SINTETIS UK 1M X 2M ,Rp218.800,,,Rp118.800,Rp9.504,Rp228.304
LM 4CM (DOVE 2) 3M, Rp 29.200 ,new,LAMPU LED DOWNLIGHT 5W,17900,NEW+5,,RUMPUT SINTETIS UK 1M X 3M,Rp317.800,,,Rp217.800,Rp17.424,Rp335.224
LM 6CM (DOVE 2) 1M, Rp 15.200 ,new,KAP LAMPU PLAFON / RELL FITTING- LP 2 ARAH ,Rp163.900,NEW,,RUMPUT SINTETIS UK 1M X 4M,Rp488.400,,,Rp388.400,Rp31.072,Rp519.472
LM 6CM (DOVE 2) 2M, Rp 26.500 ,new,KAP LAMPU PLAFON / RELL FITTING- LP BULAT,Rp134.200,NEW,,RUMPUT SINTETIS UK 1M X 5M,Rp517.000,,,Rp417.000,Rp33.360,Rp550.360
LM 6CM (DOVE 2) 3M, Rp 38.200 ,new,KAP LAMPU PLAFON / RELL FITTING-  LP DINDING,256300,NEW,,RUMPUT 2 X 50CM ,Rp117.800,NEW,,Rp17.800,Rp1.424,Rp119.224
LMT 4CM (DOVE 2) 1M, Rp 14.000 ,new,KAP LAMPU PLAFON / RELL FITTING-  LP 1 ARAH,133200,NEW,,,,,,-Rp100.000,-Rp8.000,-Rp8.000
LMT 4CM (DOVE 2) 2M, Rp 22.200 ,new,LAMPU NEON (5M),Rp61.300,NEW,,VITRASE UK 100CM X 280CM,Rp34.000,,,-Rp66.000,-Rp5.280,Rp28.720
LMT 4CM (DOVE 2) 3M, Rp 31.800 ,new,COLOKAN LAMPU ,Rp23.800,NEW,,VITRASE UK 50CM X 280CM ,Rp24.000,,,-Rp76.000,-Rp6.080,Rp17.920
LMT 4CM (COKLAT) 1M, Rp 16.800 ,new,LAMPU NEON 1 M ,20.800,NEW,,RUMPUT 2 X 25 M ,Rp5.396.000,new +50k,,Rp5.296.000,Rp423.680,Rp5.819.680
