No. Barang,Keterangan Barang,Jumlah,bottom price
DO024 PVC SHEET (25CM X120CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO014NEW PVC SHEET 120CM X 50M,PVC SHEET MARBLE STICKER FURNITURE (NEW),"800,000","736,000"
DO014 PVC SHEET(25 CM X120CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO013 PVC SHEET(NEW),PVC SHEET MARBLE STICKER FURNITURE,"800,000","736,000"
DO013 PVC SHEET (25CM X120CM),PVC SHEET MARBLE STICKER FURNITURE (NEW),"9,800","9,016"
DO013 PVC SHEET (25CM X120CM,PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO012 PVC SHEET(NEW),PVC SHEET MARBLE STICKER FURNITURE (ROLLAN),"800,000","736,000"
DO012 PVC SHEET(25 CM X120 CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO012 PVC SHEET (25CM X 120CM),PVC SHEET MARBLE STICKER FURNITURE (NEW),"9,800","9,016"
DO010 PVC SHEET(50 M X120CM),PVC SHEET MARBLE (ROLLAN),"800,000","736,000"
DO010 PVC SHEET(25CM X120CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO01 PVC SHEET(25CM X 120CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO002 PVC SHEET (50M X 120CM),PVC SHEET MARBLE (ROLLAN) NEW,"800,000","736,000"
DO001 PVC SHEET(50M X 120CM),PVC SHEET MARBLE (ROLLAN),"800,000","736,000"
DO OO9 PVC SHEET(25CM X 120CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
DO OO9 PVC SHEET (50M X 120CM),PVC SHEET MARBLE STICKER FURNITURE (ROLLAN),"800,000","736,000"
DLM 014 VINIL ROLLAN (5 METER),VINIL ROLLAN PREMIUM TEBAL 2 MM (120 CM X 5 M),"318,800","293,296"
DLM 014 VINIL ROLLAN,VINIL ROLLAN PREMIUM TEBAL 2 MM (120 CM X 10 M),"559,500","514,740"
COLOKAN USB WHITE,COLOKAN USB,"48,200","44,344"
AT-Y 24,WPC PANEL 4 STRIP,88.800,82
AT-Y 121,WPC PANEL 4 STRIP,88.800,82
AT-Y 05,WPC PANEL 4STRIP,88.800,82
AT-Y 03,WPC PANEL 4 STRIP,88.800,82
AT-Y 02,WPC PANEL 4 STRIP,88.800,82
AT-Y 01 (1M),WPC PANEL 4 STRIP,36.000,33
AT-Y 01,WPC PANEL 4 STRIP,88.800,82
AT-PVCB 01 SILVER (MIRROR),PVC BOARD MIRROR SILVER,"525,000","483,000"
AT-PVCB 03 BROWNZE (MIRROR),PVC BOARD MIRROR BROWNZE,"525,000","483,000"
